Name,SIC,BVD,Year,EBIT,Turnover,Profit,OM,RG,Industry,OM_ind_avg,RG_ind_avg,OM_above,RG_above,is_breakaway_before
AAKAR FOUNDRY PRIVATE LIMITED,3321.0,IN0000557183,2017,0.693323452605866,10.274447640256,-0.677346599983983,0.06748036263179508,0.3573396614195612,Manufacturing,0.05248837086810012,0.1388826859319544,1,1,True
AAKAR FOUNDRY PRIVATE LIMITED,3321.0,IN0000557183,2018,2.2453271329809,12.2948546869045,1.07483159094583,0.18262331602604817,0.19664386032125036,Manufacturing,0.05180221415934495,0.08281475731962817,1,1,True
AAKAR FOUNDRY PRIVATE LIMITED,3321.0,IN0000557183,2019,0.989781889717653,11.5967493009841,-0.179934175200295,0.08534994281834307,-0.05678028766488519,Manufacturing,0.04617818708616245,-0.09854915073749798,1,1,True
AAKASH EXPLORATION SERVICES LIMITED,1381.0,IN508884FI,2017,0.6698685966013,6.2975119934231,0.359033332639374,0.10637035662669435,0.21580089827438442,Mining,0.06074633081678281,0.1350560968142892,1,1,True
AAKASH EXPLORATION SERVICES LIMITED,1381.0,IN508884FI,2018,0.559943201594055,7.47022231859155,0.478753461323679,0.07495669843727325,0.18621803759852895,Mining,0.05746283831638368,0.09827551768680887,1,1,True
AAKASH EXPLORATION SERVICES LIMITED,1381.0,IN508884FI,2019,1.27033036883455,8.95550742209796,0.645067566501908,0.14184906660899807,0.19882742978209622,Mining,0.06120653844811724,-0.057114908745979354,1,1,True
AARNAV FASHIONS LIMITED,6099.0,IN117363FI,2017,0.0271815583482385,0.100270431870595,0.0178955508582294,0.27108249003373125,0.8124880236507006,"Finance, Insurance, and Real Estate",0.10478969853781811,0.20315834245212483,1,1,True
AARNAV FASHIONS LIMITED,6099.0,IN117363FI,2018,0.037457730954513,0.228447342548519,0.0261524644140154,0.16396658650803742,1.2783121433379678,"Finance, Insurance, and Real Estate",0.07952076176714172,0.04955196324861877,1,1,True
AARNAV FASHIONS LIMITED,6099.0,IN117363FI,2019,0.405075742422603,4.69898207972478,0.307749851793051,0.08620499834856327,19.56921313815144,"Finance, Insurance, and Real Estate",0.05804177927105415,-0.04970228052292325,1,1,True
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,2017,6.58010949255573,22.9723725819555,3.73260756797204,0.28643578146230836,0.12617576101623196,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0753233947593465,0.11778712427412952,1,1,True
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,2018,6.17011232937556,29.116163168587,3.75077806127779,0.21191364719484754,0.2674425797645894,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.0840672720238503,0.0549615558648453,1,1,True
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,2019,8.96672039406868,34.712580860614,5.57808544946741,0.25831327350950756,0.1922099989487931,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.08749766665844828,-0.06125916504782458,1,1,True
