Name,SIC,BVD
CONFIDENCE FUTURISTIC ENERGETECH LIMITED,3593.0,IN113613FI
CONNECTWELL INDUSTRIES PRIVATE LIMITED,3571.0,IN0010264527
CONTROL COMPONENT INDIA PRIVATE LIMITED,5085.0,IN0010394628
CONVERGINT INDIA PRIVATE LIMITED,3669.0,IN0000399919
CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,IN0010258883
CORDS CABLE INDUSTRIES LTD,3496.0,IN33400FI
CPC DIAGNOSTICS PRIVATE LIMITED,5962.0,IN0002124963
CRAFTSMAN AUTOMATION LIMITED,8711.0,IN37128FI
CREDILA FINANCIAL SERVICES LIMITED,6019.0,IN0002150928
CUMMINS INDIA LIMITED,3519.0,IN30126FI
CYBERABAD CONVENTION CENTRE PRIVATE LIMITED,7021.0,IN0002195782
DAIFUKU INTRALOGISTICS INDIA PRIVATE LIMITED,3559.0,IN0000280282
DAIWA KASEI INDIA PRIVATE LIMITED,8742.0,IN0002218251
DASHRATH SILVER ART PRIVATE LIMITED,3911.0,IN0002250404
DEDICATED FREIGHT CORRIDOR CORPORATION OF INDIA LIMITED,4212.0,IN0002293906
DELHI DUTY FREE SERVICES PRIVATE LIMITED,5962.0,IN0000022904
DELOITTE FINANCIAL ADVISORY SERVICES INDIA PRIVATE LIMITED,8721.0,IN0002479161
DELVAL FLOW CONTROLS PRIVATE LIMITED,3559.0,IN0002617424
DENSO TEN UNO MINDA INDIA PRIVATE LIMITED,3694.0,IN0002966828
DEUTSCH INDIA POWER CONNECTORS PRIVATE LIMITED,3559.0,IN0002354972
DEVYANI INTERNATIONAL LIMITED,2035.0,IN0000226247
DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,IN0002383728
DEXTRA INDIA PRIVATE LIMITED,3531.0,IN0002385747
DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,IN0016583947
DREAMFOLKS SERVICES LIMITED,5085.0,IN001244972IND
DYNA-K-AUTOMOTIVE STAMPINGS PRIVATE LIMITED,3462.0,IN0002792923
DYNAMIC CABLES LIMITED,3357.0,IN254337FI
E2E NETWORKS LIMITED,7379.0,IN490638FI
EASY TRIP PLANNERS LIMITED,4724.0,IN001266232IND
EBCO PRIVATE LIMITED,3559.0,IN0007832776
ECIL-RAPISCAN LIMITED,3531.0,IN0010255688
EDUQUITY CAREER TECHNOLOGIES PRIVATE LIMITED,7371.0,IN0002566358
EDWARDS LIFESCIENCES (INDIA) PRIVATE LIMITED,3841.0,IN0002805928
EIH ASSOCIATED HOTELS LIMITED,7011.0,IN31929FI
ELANTAS BECK INDIA LIMITED,3699.0,IN33922FI
ELEMENT14 INDIA PRIVATE LIMITED,3571.0,IN0007923249
ELMEX ELECTRIC PRIVATE LIMITED,3613.0,IN0007949309
EMKAY TAPS AND CUTTING TOOLS LIMITED,3545.0,IN115028FI
EMUDHRA LIMITED,7379.0,IN39771FI
ENNORE COAL TERMINAL PRIVATE LIMITED,4789.0,IN0002066764
ENRX PRIVATE LIMITED,3612.0,IN0000260132
EPAM SYSTEMS INDIA PRIVATE LIMITED,8742.0,IN0000755108
EQUIFAX CREDIT INFORMATION SERVICES PRIVATE LIMITED,7374.0,IN0002582748
ETERNITY LIFESTYLES PRIVATE LIMITED,3827.0,IN0002597119
ETHOS LIMITED,5094.0,IN37719FI
EURO PANEL PRODUCTS LIMITED,3365.0,IN932757FI
EXOTECH PLASTICS PRIVATE LIMITED,3089.0,IN0002712681
EXPERT GLOBAL SOLUTIONS PRIVATE LIMITED,7375.0,IN0002715871
FC TECNRGY PRIVATE LIMITED,3999.0,IN0015497134
FINEOTEX CHEMICAL LIMITED,2899.0,IN34620FI
FINOLEX CABLES LIMITED,3357.0,IN30028FI
FIRSTRAND SERVICES PRIVATE LIMITED,7371.0,IN0014544156
FLEXIBLE STEEL LACING COMPANY PRIVATE LIMITED,8712.0,IN0002884949
FOCUS LIGHTING & FIXTURES LTD,3645.0,IN117597FI
FORTINET TECHNOLOGIES INDIA PRIVATE LIMITED,7371.0,IN0002919022
FORTIS HEALTH MANAGEMENT LIMITED,8062.0,IN0002919314
FORTUNE GOURMET SPECIALITIES PRIVATE LIMITED,5147.0,IN0002923238
FOSROC CHEMICALS (INDIA) PRIVATE LIMITED,2813.0,IN0002929409
FOUNDEVER CRM INDIA PRIVATE LIMITED,4899.0,IN0011078862
FOWLER WESTRUP (INDIA) PRIVATE LIMITED,7389.0,IN0002938775
FRANK LIFECARE PRIVATE LIMITED,2879.0,IN0002942842
FRANKE FABER INDIA PRIVATE LIMITED,2656.0,IN0000021213
FUCHS LUBRICANTS (INDIA) PRIVATE LIMITED,2999.0,IN0002965346
FUJI SILVERTECH CONCRETE PRIVATE LIMITED,3272.0,IN0014381987
G D GOENKA UNIVERSITY,8221.0,IN0003128396
G T Z (INDIA) PVT LTD,3312.0,IN0009329466
G.G AUTOMOTIVE GEARS LIMITED,5013.0,IN35895FI
G.S. ALLOY CASTINGS PRIVATE LIMITED,3312.0,IN0010170636
GABRIEL INDIA LIMITED,5012.0,IN31792FI
GAJANAN FERRO PRIVATE LIMITED,3312.0,IN0002999178
GALDERMA INDIA PRIVATE LIMITED,2869.0,IN0000022868
GANDEVIKAR JEWELLERS PVT LTD,3911.0,IN0003022158
GANESH HOUSING CORPORATION LIMITED,6531.0,IN31935FI
GANGA FASHIONS PRIVATE LIMITED,5651.0,IN0003031282
GANGA MEDICAL CENTRE AND HOSPITALS PRIVATE LIMITED,4911.0,IN0003032588
GENESIS LA MODE PRIVATE LIMITED,5199.0,IN0003117973
GEP SOLUTIONS PRIVATE LIMITED,7375.0,IN0003135598
GLOBETROTTERS EDUCATIONAL INNOVENTIONS PRIVATE LIMITED,8299.0,IN0003197626
GML INDIA FASHION PRIVATE LIMITED,5131.0,IN0013012997
GMM PFAUDLER LIMITED,3569.0,IN31937FI
GMR HOSPITALITY AND RETAIL LIMITED,5999.0,IN0000360118
GOKALDAS EXPORTS LIMITED,2389.0,IN31369FI
GOLDRUSH SALES & SERVICES LTD,5199.0,IN0000248777
GOODLUCK INDIA LTD.,3317.0,IN33307FI
GREENLAM INDUSTRIES LIMITED,3083.0,IN113723FI
GTN ENTERPRISES LIMITED,2299.0,IN0003406808
GTPL BROADBAND PRIVATE LIMITED,4833.0,IN0003407117
GUJARAT FLOTEX PRIVATE LIMITED,2211.0,IN0003414566
H. K. JEWELS PRIVATE LIMITED,3911.0,IN0010604402
HAPPIEST MINDS TECHNOLOGIES LIMITED,7379.0,IN110654FI
HAVMOR ICE CREAM PRIVATE LIMITED,2021.0,IN0020486081
HCL AVITAS PRIVATE LIMITED,8099.0,IN0001597831
HDFC CAPITAL ADVISORS LIMITED,7389.0,IN0014436737
HEALTHCARE GLOBAL ENTERPRISES LIMITED,2021.0,IN117343FI
HELLERMANNTYTON PRIVATE LIMITED,8721.0,IN0007969602
HINDUSTAN OIL EXPLORATION COMPANY LIMITED,1311.0,IN30310FI
HIRA TECHNOLOGIES PRIVATE LIMITED,3631.0,IN0003689094
HIRSCHVOGEL COMPONENTS INDIA PRIVATE LIMITED,3441.0,IN0003687061
HL KLEMOVE INDIA PRIVATE LIMITED,3799.0,IN0015644141
HOYA MEDICAL INDIA PRIVATE LIMITED,5085.0,IN0009024329
HSS APPAREL PRIVATE LIMITED,2389.0,IN0003630874
ICE MT INDIA PRIVATE LIMITED,7375.0,IN0005444635
IGUS (INDIA) PRIVATE LIMITED,3567.0,IN0003702166
INDEGENE LIMITED,8099.0,IN110739FI
INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,7011.0,IN34662FI
INDIAN CLEARING CORPORATION LIMITED,6111.0,IN0003759925
INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,7011.0,IN001577106IND
INDIANA HOSPITAL AND HEART INSTITUTE LIMITED,8062.0,IN0013175135
INDRAPRASTHA MEDICAL CORPORATION LIMITED,8069.0,IN30554FI
INDUCTIS (INDIA) PRIVATE LIMITED,7389.0,IN0003799551
INFO EDGE (INDIA) LTD,4899.0,IN33138FI
INTEGRA ENGINEERING (INDIA) LTD,3559.0,IN33983FI
INTERGLOBE TECHNOLOGY QUOTIENT PRIVATE LIMITED,7389.0,IN0003893143
INTEVA PRODUCTS INDIA AUTOMOTIVE PRIVATE LIMITED,3714.0,IN0000022683
INTRAEDGE TECHNOLOGIES PRIVATE LIMITED,7371.0,IN0003905464
INVESTEC CAPITAL SERVICES (INDIA) PRIVATE LIMITED,6019.0,IN0003909984
IOPEX TECHNOLOGIES PRIVATE LIMITED,7371.0,IN0008051403
JAI AMBE VINIMAY PRIVATE LIMITED,5085.0,IN0004020147
JAI BALAJI INDUSTRIES LIMITED,3462.0,IN32012FI
JAIPRAKASH POWER VENTURES LIMITED,4911.0,IN31376FI
JBM AUTO LTD,3711.0,IN32964FI
JCB POWER PRODUCTS INDIA PRIVATE LIMITED,3612.0,IN0013518888
JEFFERIES INDIA PRIVATE LIMITED,8742.0,IN0004114665
JEWELLERY GARDEN PRIVATE LIMITED,3312.0,IN0004121041
JITF INFRALOGISTICS LIMITED,4789.0,IN102025FI
JITF URBAN INFRASTRUCTURE LIMITED,6531.0,IN0000341096
JSG INNOTECH PRIVATE LIMITED,3714.0,IN0007792725
JSW INFRASTRUCTURE LIMITED,4499.0,IN116568FI
JTL INDUSTRIES LTD,3317.0,IN34593FI
JUST-IN-TIME TRADING PRIVATE LIMITED,5085.0,IN0004187952
JWIL INFRA LIMITED,4941.0,IN0004143704
K.P. ENERGY LIMITED,4911.0,IN116746FI
K.P.I. GLOBAL INFRASTRUCTURE LIMITED,4911.0,IN001576262IND
KAJARIA SANITARYWARE PRIVATE LIMITED,3261.0,IN0004240182
KALA JYOTHI PROCESS PRIVATE LIMITED,2759.0,IN0004245854
KALINGA COMMERCIAL CORPORATION LIMITED,1629.0,IN0004256569
KALPATARU RETAIL VENTURES PRIVATE LIMITED,1629.0,IN0004266971
KALYANI TECHNOFORGE LIMITED,3462.0,IN0000238157
KAMATHS OURTIMES ICECREAMS PRIVATE LIMITED,2021.0,IN0004290468
KARNAVATI AVIATION PRIVATE LIMITED,4512.0,IN0000272747
KAYPEE ELECTRONICS AND ASSOCIATES PRIVATE LIMITED,8062.0,IN0004598743
KDDL LIMITED,3873.0,IN32321FI
KEI INDUSTRIES LIMITED,3357.0,IN30982FI
KEWAL KIRAN CLOTHING LIMITED,5699.0,IN31556FI
KILBURN ENGINEERING LTD,8711.0,IN32951FI
KILITCH DRUGS INDIA LIMITED,2834.0,IN32960FI
KINGFA SCIENCE & TECHNOLOGY (INDIA) LTD.,3087.0,IN31297FI
KIRLOSKAR TOYOTA TEXTILE MACHINERY PRIVA TE LIMITED,3552.0,IN0014353115
KNORR-BREMSE TECHNOLOGY CENTER INDIA PRIVATE LIMITED,7375.0,IN0008070427
KOKUYO RIDDHI PAPER PRODUCTS PRIVATE LIMITED,2678.0,IN0014771628
KOMATSU INDIA PRIVATE LIMITED,3531.0,IN0004667536
KOTHARI PETROCHEMICALS LIMITED,2865.0,IN37383FI
KPMG GLOBAL SERVICES PRIVATE LIMITED,8742.0,IN0004698558
KPMG RESOURCE CENTRE PRIVATE LIMITED,8742.0,IN0004698613
KRISHIVAL FOODS LIMITED,2068.0,IN001139079IND
KRISHNA MARUTI LIMITED,3714.0,IN0000221905
KRONOS SOLUTIONS INDIA PRIVATE LIMITED,3571.0,IN0004753014
LANSON MOTORS PRIVATE LIMITED,5085.0,IN0010704343
LAQSHYA HYDERABAD AIRPORT MEDIA PRIVATE LIMITED,7311.0,IN0011698856
LARK ENGINEERING COMPANY (INDIA) PRIVATE LIMITED,3569.0,IN0013058134
LATENT VIEW ANALYTICS LIMITED,8748.0,IN113466FI
LAURUS BIO PRIVATE LIMITED,2834.0,IN0006630836
LEE PHARMA LIMITED,2833.0,IN0007481336
LIKHITHA INFRASTRUCTURE LIMITED,1623.0,IN138597FI
LINCOLN ELECTRIC COMPANY (INDIA) PRIVATE LIMITED,3694.0,IN0008002869
LLOYDS ENTERPRISES LIMITED,3316.0,IN33654FI
LLOYDS METALS AND ENERGY LIMITED,3399.0,IN32198FI
LUMAX AUTO TECHNOLOGIES LIMITED,3711.0,IN33449FI
LUMAX CORNAGLIA AUTO TECHNOLOGIES PRIVATE LIMITED,3559.0,IN0007540796
LUMAX MANNOH ALLIED TECHNOLOGIES LIMITED,3751.0,IN0013140457
M M FORGINGS LIMITED,3325.0,IN31672FI
M.V.R. INFRASTRUCTURE AND TOLLWAYS LIMITED,1629.0,IN0010895023
MAGEBA BRIDGE PRODUCTS PRIVATE LIMITED,1799.0,IN0000024645
MAGIC INTERNATIONAL PRIVATE LIMITED,3679.0,IN0010733384
MAHAN ENERGEN LIMITED,4911.0,IN0002621892
MAHARASHTRA KNOWLEDGE CORPORATION LIMITED,8299.0,IN0010809538
MALABAR DIAMOND GALLERY PRIVATE LIMITED,5944.0,IN0011179751
MANN TOURIST TRANSPORT SERVICE PRIVATE LIMITED,5571.0,IN0010858162
MANORAMA INDUSTRIES LIMITED,2079.0,IN903999FI
MARELLI MOTHERSON AUTOMOTIVE LIGHTING INDIA PRIVATE LIMITED,3694.0,IN0009236639
MARKET CITY RESOURCES PRIVATE LIMITED,7011.0,IN0000267889
MASHREQ GLOBAL SERVICES PRIVATE LIMITED,7371.0,IN0010067272
MAZAGON DOCK SHIPBUILDERS LIMITED,3731.0,IN001577515IND
MEDTRONIC ENGINEERING AND INNOVATION CENTER PRIVATE LIMITED,8731.0,IN0010415947
MELODY HEALTHCARE PRIVATE LIMITED,2833.0,IN0008297818
MERCEDES-BENZ INDIA PRIVATE LIMITED,3711.0,IN0008307453
MERCK SPECIALITIES PRIVATE LIMITED,2869.0,IN0008308415
METRO BRANDS LIMITED,5139.0,IN115943FI
MILLENNIUM CONSULTING (INDIA) PRIVATE LIMITED,7375.0,IN0011379524
MISHTANN FOODS LIMITED,2099.0,IN106207FI
MITSUBISHI ELECTRIC INDIA PRIVATE LIMITED,5085.0,IN0013387426
MMC HARDMETAL INDIA PRIVATE LIMITED,3441.0,IN0007618779
MMP INDUSTRIES LIMITED,3365.0,IN621280FI
MODERN INDIA LIMITED,2269.0,IN31500FI
MONTANARI LIFTS COMPONENTS PRIVATE LIMITED,3562.0,IN0008569014
MSKH SEATING SYSTEMS INDIA PRIVATE LIMITED,3631.0,IN0007645906
MUMBAI AIRPORT LOUNGE SERVICES PRIVATE LIMITED,7011.0,IN0013778542
MUMBAI AVIATION FUEL FARM FACILITY PRIVATE LIMITED,4789.0,IN0008479783
MUMTAZ HOTELS LIMITED,7011.0,IN0008481465
MUNDRA SOLAR TECHNOPARK PRIVATE LIMITED,8721.0,IN0014328627
MURLIDHAR RATANLAL EXPORTS LTD,5199.0,IN0000226164
MURUDESHWAR CERAMICS LIMITED,3262.0,IN31506FI
NADI AIRTECHNICS PRIVATE LIMITED,4491.0,IN0005538248
NARAYANA HRUDAYALAYA LIMITED,5047.0,IN117411FI
NATIONAL PLASTIC TECHNOLOGIES LTD.,3089.0,IN31417FI
NELSON GLOBAL PRODUCTS INDIA PRIVATE LIMITED,3511.0,IN0009044261
NEXTEER AUTOMOTIVE INDIA PRIVATE LIMITED,3799.0,IN0013596287
NICCO ENGINEERING SERVICES LIMITED,8712.0,IN0000271956
NIRALA INFRATECH PRIVATE LIMITED,6531.0,IN0013215319
NITTO DENKO INDIA PRIVATE LIMITED,2519.0,IN0007430736
NNE PRIVATE LIMITED,5085.0,IN0007429914
NORTH BIHAR HIGHWAY LIMITED,1611.0,IN0012727224
NTT DATA BUSINESS SOLUTIONS PRIVATE LIMITED,7371.0,IN0013462115
NXP INDIA PRIVATE LIMITED,7375.0,IN0002947248
OLECTRA GREENTECH LIMITED,3675.0,IN33112FI
OMNICOM MEDIA GROUP INDIA PRIVATE LIMITED,7311.0,IN0008744651
OPC ASSET SOLUTIONS PRIVATE LIMITED,7375.0,IN0008106312
ORIENTAL POWER CABLES LTD,3679.0,IN0000307701
OSTWAL PHOSCHEM (INDIA) LIMITED,3251.0,IN0000275942
OTSUKA CHEMICAL (INDIA) PRIVATE LIMITED,2833.0,IN0006902115
P K P N SPINNING MILLS PRIVATE LIMITED,2281.0,IN0009172236
P.P. JEWELLERS RETAIL PRIVATE LIMITED,5944.0,IN0014891199
PARAG PARIKH FINANCIAL ADVISORY SERVICES LIMITED,6019.0,IN0000300145
PARANJAPE AUTOCAST PRIVATE LIMITED,3321.0,IN0007086246
PARMESHWARI SILK MILLS LTD,2299.0,IN117606FI
PARSURAM ARAWALI HIGHWAYS PRIVATE LIMITED,4789.0,IN0015543368
PENGG USHA MARTIN WIRES PRIVATE LIMITED,3315.0,IN0007078317
PEPE JEANS INDIA LIMITED,5131.0,IN0008150878
PERSISTENT SYSTEMS LIMITED,7379.0,IN33998FI
PG ELECTROPLAST LIMITED,3679.0,IN34608FI
PHILLIPS CARBON BLACK LIMITED,2819.0,IN31564FI
PLASTIC OMNIUM AUTO EXTERIORS (INDIA) PRIVATE LIMITED,3714.0,IN0007222599
PPFAS ASSET MANAGEMENT PRIVATE LIMITED,6021.0,IN0006878546
PRECIA MOLEN INDIA PRIVATE LIMITED,3631.0,IN0008515331
PRICEWATERHOUSECOOPERS SERVICE DELIVERY CENTER (BANGALORE) PRIVATE LIMITED,7375.0,IN0012980761
PROTIVITI INDIA MEMBER PRIVATE LIMITED,8111.0,IN0007243037
PVH ARVIND FASHION PRIVATE LIMITED,5961.0,IN0008542519
QUANT MONEY MANAGERS LIMITED,7389.0,IN0000299966
R SYSTEMS INTERNATIONAL LIMITED,7379.0,IN34663FI
RACL GEARTECH LTD,7549.0,IN31980FI
RAICAM AUTOMOTIVE PRIVATE LIMITED,3799.0,IN0012056803
RAJ PROCESS EQUIPMENTS AND SYSTEMS PRIVATE LIMITED,3559.0,IN0009925975
RAJHANS NUTRIMENTS PRIVATE LIMITED,2099.0,IN0012775237
RAJSHA CHEMICALS PRIVATE LIMITED,2869.0,IN0009772189
RAJSHREE POLYPACK LIMITED,3999.0,IN925653FI
RAMKRISHNA FORGINGS LIMITED,3462.0,IN33881FI
RATHOD JEWELLERY MANUFACTURING PRIVATE LIMITED,3911.0,IN0014708351
RATNAMANI METALS & TUBES LTD.,3399.0,IN31933FI
RAYIRTH HOLDING AND TRADING COMPANY PRIVATE LIMITED,6019.0,IN0011616023
RAYMOND LIMITED,2299.0,IN30089FI
RECAERO INDIA PRIVATE LIMITED,3511.0,IN0006528987
REMC LIMITED,7299.0,IN0013513924
RICHEMONT INDIA PRIVATE LIMITED,5199.0,IN0006709508
RIELLO POWER INDIA PRIVATE LIMITED,4911.0,IN0006638753
RIGHT TIGHT FASTNERS PRIVATE LIMITED,3451.0,IN0006646069
RISHABH SOFTWARE PRIVATE LIMITED,7371.0,IN0006826084
RIVER ENGINEERING PRIVATE LIMITED,8742.0,IN0006670457
ROCKMAN ADVANCED COMPOSITES PRIVATE LIMITED,3499.0,IN0008401983
ROTO PUMPS LTD,3561.0,IN31412FI
RUPTECH EDUCATIONAL INDIA,8211.0,IN0006856016
SAFARI INDUSTRIES (INDIA) LIMITED,2821.0,IN32515FI
SAFRAN HAL AIRCRAFT ENGINES PRIVATE LIMITED,3721.0,IN0006022785
SAINT-GOBAIN INDIA PRIVATE LIMITED,2899.0,IN0000216819
SAINT-GOBAIN SEKURIT INDIA LIMITED,3211.0,IN30854FI
SAKSOFT LIMITED,5734.0,IN32826FI
SANGHVI MOVERS LIMITED,7353.0,IN31392FI
SAR HEALTH LINE PRIVATE LIMITED,8062.0,IN0011045441
SAREGAMA INDIA LIMITED,4833.0,IN30717FI
SAT INDUSTRIES LTD,4899.0,IN34704FI
SATAKE INDIA ENGINEERING PRIVATE LIMITED,7389.0,IN0014525977
SATRAC ENGINEERING PRIVATE LIMITED,3523.0,IN0009946033
SAWANSUKHA JEWELLERS PVT LTD,5094.0,IN0012919766
SAYYAM INVESTMENTS PRIVATE LIMITED,6141.0,IN0012489136
SCHAEFFLER INDIA LIMITED,3562.0,IN30588FI
SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,3694.0,IN0000972352
SELAN EXPLORATION TECHNOLOGY LIMITED,1382.0,IN32290FI
SGS TEKNIKS MANUFACTURING PRIVATE LIMITED,3648.0,IN0005942633
SHANTHI GEARS LIMITED,3566.0,IN30940FI
SHARE INDIA ALGOPLUS PRIVATE LIMITED,5085.0,IN0010468046
SHILCHAR TECHNOLOGIES LTD,3612.0,IN33720FI
SHISH INDUSTRIES LIMITED,3089.0,IN117688FI
SHIVA DISTILLERIES PRIVATE LIMITED,2085.0,IN0000219793
SHIVALIK BIMETAL CONTROLS LTD,3399.0,IN31518FI
SHRADHA INFRAPROJECTS LIMITED,1531.0,IN496275FI
SHREE BALAJEE LANDMARK HOTELS PRIVATE LIMITED,5199.0,IN0011062553
SHREEGLUCO BIOTECH PRIVATE LIMITED,2051.0,IN0012857344
SHRUTI FASHIONS PRIVATE LIMITED,2281.0,IN0012737293
SHYAM SEL AND POWER LIMITED,3312.0,IN0004946416
SIDDAPUR DISTILLERIES LIMITED,2085.0,IN0011437288
SIDWAL REFRIGERATION INDUSTRIES PRIVATE LIMITED,3564.0,IN0013530276
SIMPLEX ENGINEERING & FOUNDRY WORKS PRIVATE LIMITED,3556.0,IN0000231454
SIMPLEX METAL PROCESSORS (INDIA) PRIVATE LIMITED,3312.0,IN0011230876
