Name,SIC,BVD
CANDOR GURGAON ONE REALTY PROJECTS PRIVATE LIMITED,1521.0,IN0009595303
CANTABIL RETAIL INDIA LIMITED,2399.0,IN34666FI
CAPLIN POINT LABORATORIES LIMITED,2834.0,IN33239FI
CARGILL BUSINESS SERVICES INDIA PRIVATE LIMITED,8742.0,IN0001919066
CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED,3812.0,IN0001920959
CASTLE SHIPS PRIVATE LIMITED,3731.0,IN0002618113
CDET EXPLOSIVE INDUSTRIES PRIVATE LIMITED,3569.0,IN0002502955
CELEBI AIRPORT SERVICES INDIA PRIVATE LIMITED,4789.0,IN0001948575
CENTRAL U.P. GAS LIMITED,4922.0,IN0001957991
CFM ASSET RECONSTRUCTION PRIVATE LIMITED,6019.0,IN0015212893
CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,IN0001994123
CII GUARDIAN INTERNATIONAL LIMITED,3559.0,IN0000400929
CLEAN SCIENCE AND TECHNOLOGY LIMITED,2899.0,IN918992FI
CLIFFORD CHANCE BUSINESS SERVICES PRIVATE LIMITED,5734.0,IN0009513854
CME INDIA PRIVATE LIMITED,7389.0,IN0015158986
CMR-TOYOTSU ALUMINIUM INDIA PRIVATE LIMITED,3334.0,IN0002121787
COCHIN SHIPYARD LIMITED,3731.0,IN111222FI
COFORGE DPA PRIVATE LIMITED,7371.0,IN0003738029
COHNREZNICK PROFESSIONAL SERVICES PRIVATE LIMITED,7374.0,IN0006617014
COMPANY3 METHOD INDIA PRIVATE LIMITED,4832.0,IN0002423347
CONFIDENCE PETROLEUM INDIA LTD,1321.0,IN32997FI
CONGRUENT SOLUTIONS PRIVATE LIMITED,3799.0,IN0010311106
CONTINENTAL ENGINEERING & POWER PRIVATE LIMITED,3559.0,IN0012993082
CONVERGINT INDIA PRIVATE LIMITED,3669.0,IN0000399919
CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,IN0010258883
CREATIVE CARVE PRIVATE LIMITED,3559.0,IN0002138315
CRIF HIGH MARK CREDIT INFORMATION SERVICES PRIVATE LIMITED,8743.0,IN0000564245
CROSSLAY REMEDIES LIMITED,2833.0,IN0002165097
CTRL S DATACENTERS LIMITED,7371.0,IN0002183212
DAIDO KOGYO INDIA PRIVATE LIMITED,5085.0,IN0002215488
DASSAULT SYSTEMES GLOBAL SERVICES PRIVATE LIMITED,7375.0,IN0013855003
DBS TECHNOLOGY SERVICES INDIA PRIVATE LIMITED,7374.0,IN0016559702
DEEPAK NITRITE LIMITED,2899.0,IN31252FI
DELHI AIRPORT PARKING SERVICES PRIVATE LIMITED,4789.0,IN0002318966
DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,IN0002383728
DHANANJAY AUTO CRAFT PRIVATE LIMITED,3799.0,IN0015357759
DHARIWAL INDUSTRIES PRIVATE LIMITED,3499.0,IN0002441431
DHARIWAL INFRASTRUCTURE LIMITED,6531.0,IN0002441478
DHARMESH TEXTILES LIMITED,2299.0,IN0002446027
DIAGEO BUSINESS SERVICES INDIA PRIVATE LIMITED,7389.0,IN0015441306
DIPTY LAL JUDGE MAL PVT LTD,5999.0,IN0002471244
DISPOSAFE HEALTH AND LIFE CARE LIMITED,3321.0,IN0002486204
DOEHLER INDIA PRIVATE LIMITED,2037.0,IN0007826087
DONGSUNG PRECISION COMPANY PRIVATE LIMITED,5013.0,IN0007813441
DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,IN0016583947
DP WORLD MULTIMODAL LOGISTICS HYDERABAD PRIVATE LIMITED,4225.0,IN0010172396
DREAMFOLKS SERVICES LIMITED,5085.0,IN001244972IND
DTCC ENTERPRISE SERVICES INDIA PRIVATE LIMITED,7375.0,IN0014250713
DURGA PROCESSORS PRIVATE LIMITED,2759.0,IN0002788011
DYNATECH TOOLS & DEVICES (BENGALURU) PRIVATE LIMITED,3312.0,IN0002554415
DYWIDAG BRIDGECON INDIA PRIVATE LIMITED,8742.0,IN0014405043
EAGLEBURGMANN INDIA PRIVATE LIMITED,3559.0,IN0000244782
EAST HOOGHLY POLYPLAST PRIVATE LIMITED,3089.0,IN0007854577
ECO PROTECTION ENGINEERS PRIVATE LIMITED,4941.0,IN0007779924
ECONOMIC EXPLOSIVES LIMITED,2892.0,IN0000243034
EISAI PHARMACEUTICALS INDIA PRIVATE LIMITED,2834.0,IN0002573819
ELICA PB WHIRLPOOL KITCHEN APPLIANCES PRIVATE LIMITED,3631.0,IN0007927584
ELLUCIAN HIGHER EDUCATION SYSTEMS INDIA PRIVATE LIMITED,7375.0,IN0007948333
ELYSIUM PHARMACEUTICALS LTD,2834.0,IN0007954205
ENEOS TIDE WATER LUBRICANTS INDIA PRIVATE LIMITED,7389.0,IN0012355638
ENGINEERS INDIA LIMITED,8711.0,IN30589FI
EPICENTER TECHNOLOGIES PRIVATE LIMITED,7375.0,IN0007759218
EPICU AGRO PRODUCTS PRIVATE LIMITED,2037.0,IN0007759028
EQUIFAX CREDIT INFORMATION SERVICES PRIVATE LIMITED,7374.0,IN0002582748
EQUIRUS SECURITIES PRIVATE LIMITED,6159.0,IN0002582112
ERI-TECH LIMITED,3499.0,IN001579121IND
ERIS LIFESCIENCES LIMITED,2834.0,IN117660FI
ESAB INDIA LIMITED,3496.0,IN30332FI
ESDS SOFTWARE SOLUTION LIMITED,7371.0,IN0002602668
EUROFINS ANALYTICAL SERVICES INDIA PRIVATE LIMITED,8731.0,IN0002663791
EVONIK CATALYSTS INDIA PRIVATE LIMITED,2869.0,IN0008407527
EXPERIS IT PRIVATE LIMITED,7375.0,IN0001149649
EXPERT GLOBAL SOLUTIONS PRIVATE LIMITED,7375.0,IN0002715871
EZESOFTWARE INDIA PRIVATE LIMITED,7371.0,IN0014364291
FACEBOOK INDIA ONLINE SERVICES PRIVATE LIMITED,7375.0,IN0002822131
FAIVELEY TRANSPORT RAIL TECHNOLOGIES INDIA PRIVATE LIMITED,3569.0,IN0000238181
FEEGRADE & CO PVT LTD,1222.0,IN0002828632
FIRSTRAND SERVICES PRIVATE LIMITED,7371.0,IN0014544156
FLEUR HOTELS LIMITED,7011.0,IN0002883707
FLEXIBLE STEEL LACING COMPANY PRIVATE LIMITED,8712.0,IN0002884949
FLUID CONTROLS PVT LTD,3561.0,IN0002895572
FORTITUDE STAINLESS PRIVATE LIMITED,8111.0,IN0001449665
FORTREA DEVELOPMENT INDIA PRIVATE LIMITED,7389.0,IN0010355461
FOSROC CHEMICALS (INDIA) PRIVATE LIMITED,2813.0,IN0002929409
FOURKITES INDIA PRIVATE LIMITED,7389.0,IN0014920153
FRONTIER SPRINGS LIMITED,3493.0,IN31182FI
FUJI SILVERTECH CONCRETE PRIVATE LIMITED,3272.0,IN0014381987
G.G AUTOMOTIVE GEARS LIMITED,5013.0,IN35895FI
G.M. EXIM PRIVATE LIMITED,5162.0,IN0010441556
GANESH BENZOPLAST LIMITED,2899.0,IN32097FI
GAWAR CONSTRUCTION LIMITED.,6531.0,IN0003080307
GENERAL ATLANTIC PRIVATE LIMITED,8712.0,IN0003112809
GENESIS LA MODE PRIVATE LIMITED,5199.0,IN0003117973
GENESYS TELECOM LABS INDIA PRIVATE LIMITED,7371.0,IN0003119282
GEP SOLUTIONS PRIVATE LIMITED,7375.0,IN0003135598
GLF LIFESTYLE BRANDS PRIVATE LIMITED,5085.0,IN0003181842
GLOBETROTTERS EDUCATIONAL INNOVENTIONS PRIVATE LIMITED,8299.0,IN0003197626
GLOWSTONE INDUSTRIES PRIVATE LIMITED,1499.0,IN0012162509
GML INDIA FASHION PRIVATE LIMITED,5131.0,IN0013012997
GMM PFAUDLER LIMITED,3569.0,IN31937FI
GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,4512.0,IN0000224266
GODAWARI POWER & ISPAT LTD,3312.0,IN33040FI
GOODLUCK INDIA LTD.,3317.0,IN33307FI
GOTO TECHNOLOGIES INDIA PRIVATE LIMITED,7375.0,IN0015755595
GRANULES INDIA LIMITED,2834.0,IN30983FI
GREAT VALUE FUELS PRIVATE LIMITED,5199.0,IN0003342633
GREEN GAS LIMITED,2999.0,IN0003353519
GROTH CONTINENTAL MANUFACTURING PRIVATE LIMITED,3559.0,IN0003395043
GTPL HATHWAY LIMITED,4841.0,IN117653FI
GUFIC BIOSCIENCES LIMITED,5122.0,IN30813FI
GUJARAT CHEMICAL PORT LIMITED,2999.0,IN0000244706
GUJARAT GAS LIMITED,4923.0,IN116765FI
GUJARAT STATE PETRONET LIMITED,4924.0,IN31466FI
H.G. INFRA ENGINEERING LIMITED,1611.0,IN108449FI
HASTI PETRO CHEMICAL AND SHIPPING LIMITED,2999.0,IN0003542045
HEERU CORROSION PROTECTION SERVICES INDIA PRIVATE LIMITED,3999.0,IN0007964882
HI-TECH CHEMICALS LIMITED,2819.0,IN0003557159
HID INDIA PRIVATE LIMITED,3571.0,IN0003599749
HIGH VOLT ELECTRICALS PRIVATE LIMITED,3612.0,IN0003572656
HIL LTD,3241.0,IN31294FI
HINDUSTAN FOODS LIMITED,2099.0,IN32099FI
HL MANDO SOFTTECH INDIA PRIVATE LIMITED,7375.0,IN0010783832
HLE GLASCOAT LIMITED,2899.0,IN32914FI
HOME LIFE BUILDCON PRIVATE LIMITED,1629.0,IN0009103562
HRS PROCESS SYSTEMS LIMITED,3433.0,IN0003627406
HUGHES AND HUGHES CHEM LIMITED,2869.0,IN0003638043
HYOSEONG ELECTRIC INDIA PRIVATE LIMITED,5013.0,IN0003662134
ICE MT INDIA PRIVATE LIMITED,7375.0,IN0005444635
ICRA ANALYTICS LIMITED,7375.0,IN0003663407
IGUS (INDIA) PRIVATE LIMITED,3567.0,IN0003702166
IHS GLOBAL PRIVATE LIMITED,7374.0,IN0003705045
IMERYS NEWQUEST (INDIA) PRIVATE LIMITED,2299.0,IN0003729069
IMPERIAL DYEING LIMITED,2211.0,IN0003723003
INDIAN METALS & ALLOYS MANUFACTURING COMPANY PRIVATE LIMITED,3321.0,IN0003764543
INDIANOIL PETRONAS PRIVATE LIMITED,7389.0,IN0003769766
INDITEX TRENT RETAIL INDIA PRIVATE LIMITED,7389.0,IN0001583049
INDOSPACE AS INDUSTRIAL PARK PRIVATE LIMITED,1799.0,IN0000824319
INDRAPRASTHA GAS LIMITED,4932.0,IN30831FI
INFINITY FINCORP SOLUTIONS PRIVATE LIMITED,6159.0,IN0016402638
INNOVA CAPTAB LIMITED,2834.0,IN106142FI
INNOVANA THINKLABS LIMITED,7372.0,IN496280FI
INTEGRA ENGINEERING (INDIA) LTD,3559.0,IN33983FI
INTERGLOBE TECHNOLOGY QUOTIENT PRIVATE LIMITED,7389.0,IN0003893143
INTERNATIONAL PACKAGING PRODUCTS PRIVATE LIMITED,2621.0,IN0003897853
INVENIRE PETRODYNE LIMITED,1311.0,IN0000235328
INVESTEC CAPITAL SERVICES (INDIA) PRIVATE LIMITED,6019.0,IN0003909984
IOL CHEMICALS AND PHARMACEUTICALS LIMITED,2899.0,IN31362FI
IVRCL CHENGAPALLI TOLLWAYS LIMITED,1611.0,IN0003944776
J. C. PENNEY SERVICES INDIA PRIVATE LIMITED,7371.0,IN0015254025
J. P. MORGAN SERVICES INDIA PRIVATE LIMITED,7375.0,IN0009708394
JADCHERLA EXPRESSWAYS PRIVATE LIMITED,1629.0,IN0000258533
JAINSON CABLES INDIA PRIVATE LIMITED,2834.0,IN0003985623
JASTECH SYSTEMS PRIVATE LIMITED,3691.0,IN0004064806
JEWELLERY GARDEN PRIVATE LIMITED,3312.0,IN0004121041
JUBILANT FOODWORKS LIMITED,5812.0,IN34172FI
JUBILANT PHARMOVA LIMITED,2834.0,IN30351FI
KALPATARU PROJECTS INTERNATIONAL LIMITED,4911.0,IN30629FI
KAPSTON FACILITIES MANAGEMENT LIMITED,7389.0,IN121081FI
KEI INDUSTRIES LIMITED,3357.0,IN30982FI
KENNAMETAL INDIA LIMITED,3541.0,IN30755FI
KETI SANGAM INFRASTRUCTURE (INDIA) LIMITED,1611.0,IN0004562609
KINGFA SCIENCE & TECHNOLOGY (INDIA) LTD.,3087.0,IN31297FI
KIRLOSKAR PNEUMATIC COMPANY LIMITED,3563.0,IN31560FI
KISANKRAFT LIMITED,3545.0,IN0004627072
KLA-TENCOR SOFTWARE INDIA PRIVATE LIMITED,7371.0,IN0004648108
KOHINOOR ROPES PRIVATE LIMITED,3069.0,IN0014924153
KOTAK INFRASTRUCTURE DEBT FUND LIMITED,6141.0,IN0000317055
KPMG RESOURCE CENTRE PRIVATE LIMITED,8742.0,IN0004698613
KRISHANA PHOSCHEM LTD,2875.0,IN117483FI
KRONOS SOLUTIONS INDIA PRIVATE LIMITED,3571.0,IN0004753014
KULKARNI POWER TOOLS LIMITED,3699.0,IN33817FI
KYODO YUSHI INDIA PRIVATE LIMITED,2992.0,IN0019959338
KYOSAN INDIA PRIVATE LIMITED,3694.0,IN0010883963
L&T ENERGY HYDROCARBON ENGINEERING LIMITED,8712.0,IN0000245832
L&T TECHNOLOGY SERVICES LIMITED,8711.0,IN117175FI
LAVISH GRANITO PRIVATE LIMITED,3251.0,IN0012483281
LEA ASSOCIATES SOUTH ASIA PRIVATE LIMITED,7389.0,IN0007489735
LONSEN KIRI CHEMICAL INDUSTRIES LIMITED,2816.0,IN0007520057
LSG SKY CHEFS INDIA PRIVATE LIMITED,5812.0,IN0008367129
LSI INDIA RESEARCH & DEVELOPMENT PRIVATE LIMITED,3679.0,IN0007533259
M B ISPAT CORPORATION LIMITED,3312.0,IN0009132394
M.R.ORGANISATION LIMITED,3631.0,IN111777FI
MACQUARIE GLOBAL SERVICES PRIVATE LIMITED,7299.0,IN0007582142
MADHEPURA ELECTRIC LOCOMOTIVE PRIVATE LIMITED,3799.0,IN0015217698
MADHU SILICA PRIVATE LIMITED,2299.0,IN0010803607
MADHYA BHARAT AGRO PRODUCTS LIMITED,1475.0,IN117174FI
MAHINDRA CIE AUTOMOTIVE LIMITED,3714.0,IN33500FI
MAJESCO SOFTWARE AND SOLUTIONS INDIA PRIVATE LIMITED,7375.0,IN0012439902
MANSUKH SECURITIES AND FINANCE LIMITED,7389.0,IN0010698936
MARELLI MOTHERSON AUTOMOTIVE LIGHTING INDIA PRIVATE LIMITED,3694.0,IN0009236639
MARELLI TALBROS CHASSIS SYSTEMS PRIVATE LIMITED,3714.0,IN0012935603
MARWADI SHARES AND FINANCE LIMITED,6141.0,IN0010804923
MASHREQ GLOBAL SERVICES PRIVATE LIMITED,7371.0,IN0010067272
MCKINSEY GLOBAL CAPABILITIES & SERVICES PRIVATE LIMITED,7371.0,IN0008056607
MERCEDES-BENZ RESEARCH AND DEVELOPMENT INDIA PRIVATE LIMITED,8743.0,IN0008307415
METROCHEM API PRIVATE LIMITED,2833.0,IN0000252668
MICROLAND LIMITED,8062.0,IN0011078717
MILLIMAN INDIA PRIVATE LIMITED,8742.0,IN0010767893
MINDSPRINT DIGITAL (INDIA) PRIVATE LIMITED,7371.0,IN0006874292
MODERN ROAD MAKERS P LTD,1611.0,IN0007639913
MOLD-TEK TECHNOLOGIES LIMITED,8711.0,IN32313FI
MORGAN STANLEY ADVANTAGE SERVICES PRIVATE LIMITED,7375.0,IN0008441979
MORNINGSTAR INDIA PRIVATE LIMITED,7374.0,IN0011746231
MSS INDIA PRIVATE LIMITED,3339.0,IN0007648291
MTAR TECHNOLOGIES LIMITED,3559.0,IN37278FI
MULTIPLES ALTERNATE ASSET MANAGEMENT PRIVATE LIMITED,7389.0,IN0007684273
MY HOME INFRASTRUCTURES PRIVATE LIMITED,1629.0,IN0007688579
NARAYANA HRUDAYALAYA LIMITED,5047.0,IN117411FI
NARBADA GEMS AND JEWELLERY LIMITED,3911.0,IN33024FI
NATIONAL INVESTMENT AND INFRASTRUCTURE FUND LIMITED,7389.0,IN0015257248
NATIONAL STOCK EXCHANGE OF INDIA LTD,6111.0,IN0000217045
NATUR TEC INDIA PRIVATE LIMITED,3089.0,IN0014456042
NAVKAR CORPORATION LIMITED,4789.0,IN36480FI
NEOGEN CHEMICALS LIMITED,2869.0,IN001576439IND
NEW OPPORTUNITY CONSULTANCY PRIVATE LIMITED,7261.0,IN0011967591
NIF ISPAT LIMITED,3312.0,IN0011621189
NISSAN TRADING INDIA PRIVATE LIMITED,7538.0,IN0007425033
NM AUTOMATION & CONTROL PRIVATE LIMITED,7389.0,IN0007428776
NNE PRIVATE LIMITED,5085.0,IN0007429914
NORTHERN OPERATING SERVICES PRIVATE LIMITED,7374.0,IN0007445057
NRSS XXIX TRANSMISSION LIMITED,4911.0,IN0013510803
NTS TECHNOLOGY SERVICES PRIVATE LIMITED,7375.0,IN0016114677
NU HOSPITALS PRIVATE LIMITED,8062.0,IN0008730323
NUVAMA CLEARING SERVICES LIMITED,5199.0,IN0000310385
NXP INDIA PRIVATE LIMITED,7375.0,IN0002947248
OAKNORTH GLOBAL PRIVATE LIMITED,7371.0,IN0014220586
OC SPECIALITIES PRIVATE LIMITED,2869.0,IN0008136163
OG CORPORATION INDIA PRIVATE LIMITED,2834.0,IN0011723147
ONEIRO LIFECARE PRIVATE LIMITED,2834.0,IN0010020822
ORCH LABORATORIES INDIA PRIVATE LIMITED,2834.0,IN0013281663
ORIENTAL AROMATICS LTD,2899.0,IN31847FI
OSIA HYPER RETAIL LIMITED,5999.0,IN544855FI
OUTSHINY INDIA PRIVATE LIMITED,3161.0,IN0012359434
P.C. SONS CASTINGS PRIVATE LIMITED,3321.0,IN0009983072
P.P. JEWELLERS RETAIL PRIVATE LIMITED,5944.0,IN0014891199
PARAM SHUBHAM VANIJYA LIMITED,5085.0,IN0000264253
PAREKH INTEGRATED SERVICES PRIVATE LIMITED,5085.0,IN0007098332
PARMESHWARI SILK MILLS LTD,2299.0,IN117606FI
PAUSHAK LIMITED,2899.0,IN32178FI
PENTAGON FORGE & MACHINE LIMITED,3523.0,IN0013275627
POLY MEDICURE LIMITED,3841.0,IN33643FI
POLYCAB INDIA LIMITED,3357.0,IN35325FI
POLYFIT FABRICATORS PRIVATE LIMITED,3339.0,IN0007271755
POWER & INSTRUMENTATION (GUJARAT) LIMITED,3699.0,IN737269FI
POWERGRID WARORA TRANSMISSION LIMITED,4939.0,IN0012403293
PRADIP POLYFILS PRIVATE LIMITED,3089.0,IN0006752889
PRAVESHA INDUSTRIES PRIVATE LIMITED,3523.0,IN0012662906
PRICEWATERHOUSECOOPERS SERVICE DELIVERY CENTER (BANGALORE) PRIVATE LIMITED,7375.0,IN0012980761
PRIME FRESH LIMITED,5148.0,IN117584FI
PRINCIPAL GLOBAL SERVICES PRIVATE LIMITED,4311.0,IN0010100905
PRIVI SPECIALITY CHEMICALS LIMITED,2899.0,IN32423FI
PSP PROJECTS LIMITED,8741.0,IN117612FI
QUARKCITY INDIA PRIVATE LIMITED,6531.0,IN0006887632
R K BABU TRADING PRIVATE LIMITED,5962.0,IN0009190474
R L J CONCAST PRIVATE LIMITED,3312.0,IN0009194697
R. S. FOILS PRIVATE LIMITED,3312.0,IN0009757564
RACL GEARTECH LTD,7549.0,IN31980FI
RAIC INTEGRATED SPONGE & POWER PRIVATE LIMITED,3312.0,IN0001606748
RAJHANS CINE WORLD PRIVATE LIMITED,7812.0,IN0012648642
RAKUTEN INDIA ENTERPRISE PRIVATE LIMITED,7371.0,IN0015380368
RAMBOLL INDIA PRIVATE LIMITED,7371.0,IN0013121307
RASI SEEDS PRIVATE LIMITED,139.0,IN0011018813
RCCPL PRIVATE LIMITED,3241.0,IN0000399632
RECAERO INDIA PRIVATE LIMITED,3511.0,IN0006528987
REGENCY HOSPITAL LIMITED,8062.0,IN34028FI
RELIANCE INDUSTRIES LIMITED,2821.0,IN30074FI
RENAULT NISSAN TECHNOLOGY & BUSINESS CENTRE INDIA PRIVATE LIMITED,5571.0,IN0006586761
RENEW SAUR URJA PRIVATE LIMITED,4939.0,IN0014361151
RESERVE BANK INFORMATION TECHNOLOGY PRIVATE LIMITED,7375.0,IN0016163415
RETTENMAIER INDIA PRIVATE LIMITED,5199.0,IN0006611377
RIELLO POWER INDIA PRIVATE LIMITED,4911.0,IN0006638753
RISHABH SOFTWARE PRIVATE LIMITED,7371.0,IN0006826084
RMD KWIKFORM INDIA PRIVATE LIMITED,8742.0,IN0006688975
ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,7375.0,IN0006706513
RODIC CONSULTANTS PRIVATE LIMITED,4939.0,IN0006716404
ROOTS MULTI CLEAN LIMITED,3559.0,IN0000250794
ROSSARI BIOTECH LIMITED,2899.0,IN001577497IND
ROTOSTAT SERVICES PRIVATE LIMITED,7389.0,IN0006796691
RUDRABHISHEK ENTERPRISES LIMITED,8748.0,IN001152862IND
RYAN INDIA TAX SERVICES PRIVATE LIMITED,7389.0,IN0014703189
SACHIN INDUSTRIES LIMITED,3569.0,IN0009853313
SAFARI INDUSTRIES (INDIA) LIMITED,2821.0,IN32515FI
SAHAKAR GLOBAL LIMITED,5085.0,IN0014735247
SAI LIFE SCIENCES LIMITED,2833.0,IN0012898706
SAI SILKS (KALAMANDIR) LIMITED,2389.0,IN34508FI
SAKAR HEALTHCARE LTD,2834.0,IN117452FI
SALZER ELECTRONICS LIMITED,3629.0,IN32512FI
SAMCO VENTURES PRIVATE LIMITED,7389.0,IN0014378094
SAMHI JV BUSINESS HOTELS PRIVATE LIMITED,7011.0,IN0012770999
SANDISK INDIA DEVICE DESIGN CENTRE PRIVATE LIMITED,7374.0,IN0010976785
